# ==== Vocabulary ====
the 30550
de tent ion 1
long since due 1
un agree able 1
importun acy 2
outrun n st 1
home you 1
ias 1
ind is position 1
un apt ness 1
lace da e mon 2
exact est 1
audit ors 1
sp il th 1
bray ed 1
feast won 1
fast lost 1
un wisely 2
wished they 1
am issa 1
wrench would 1
well tis 1
dis taste ful 1
fra ctions 2
half caps 1
cold moving 1
ca ked 1
ingen uous ly 1
bounty s 1
tonight flaminius 1
respect ively 1
free hearted 1
toward ly 1
soli dares 1
nut ri ment 1
belong ed 1
compar ing 3
request ing 1
do the 1
say i 1
bount ifully 1
di ps 1
support ed 1
ye to 1
monstrous ness 1
backward ly 1
ard ent 1
recover able 1
equ alled 1
glutton ous 1
wondrous ly 1
jail 1
so my 1
em bold ens 1
be have 1
man slaughter 1
mis begot 1
out sides 1
re pu gn ancy 1
by z antium 1
bri ber 1
ri o ter 1
receive t 1
bal sam 1
usur ing 2
sir here 1
will and 1
god heads 1
suit able 1
un cover 1
mouth friends 1
spr ink les 1
destroy ers 1
trencher friends 1
ca pand knee 1
minute jacks 1
atta cks 1
feel t 4
bank rup ts 1
trust ers 1
large handed 1
pill 1
night rest 1
inc ident 3
fe vers 3
mar rows 2
bla ins 1
confound hear 1
all shun ned 1
alone more 1
le aked 1
var n ished 1
twin ned 1
pro creation 1
div id ant 1
ro ther s 1
gre ce 1
du cks 4
ob liqu y 1
relig ions 2
w ap pen ed 1
spit tle house 1
em bal ms 1
gout y 3
mis an thro pos 1
can ons 1
voice d 1
regard fully 1
tu bs 1
bath s 1
rose cheek ed 1
tu b fast 1
cal am ities 1
pen urious 1
mind less 2
high vice d 1
herself s 1
trench ant 1
pa ps 1
window bars 1
ex ha u st 1
ye lls 1
mount ant 1
oath able 1
swe arter ribly 1
sh ud ders 1
turn coats 1
dead some 1
consum pt ions 1
shri lly 2
fla men 1
cur led pate 1
spo kst 3
be ag les 1
quicken ing 1
ense ar 1
conce p ti ous 1
mar bled 1
pl ought orn 1
liquor ish 1
morsel s 1
un ct uous 1
gre ases 1
slave like 1
car per 1
approach ers 2
out lived 2
point st 2
oer nights 1
wre ak ful 2
conflict ing 1
ex posed 1
flatter st 1
cast ig ate 1
enforced ly 1
content less 1
cl as ped 1
sw ath 2
pass ive 1
con fection ary 1
blow si 1
she beggar 1
bot ched 1
knew est 1
men men 1
lived st 1
unic orn 2
german e 2
jur ors 1
man gy 1
gra vest one 3
king kill er 1
def il er 1
sold erst 1
throng ed 3
bandit 12
falling from 1
covet ously 1
ho lier 2
see the 1
anti dotes 1
thie very 2
com post ure 1
ad vis es 2
vil er 1
life my 1
grant st 2
disclaim st 1
pity s 2
except less 1
redeem st 1
oppress ing 1
condition ed 1
hat st 1
stra g gling 2
sim pl er 2
fashion able 2
person ating 1
soft ness 1
op ul ency 1
black corn ered 1
ri gg st 1
plough st 1
set t lest 1
natures o 1
tra va iled 1
y ere 1
draw st 2
honest nature d 1
patch ery 2
made up 1
vill ians 1
can ther iz ing 1
re canter 1
rest rain ing 2
sorrow ed 2
br ink 2
mad bra ined 1
and let 1
worst for 1
whit tle 1
reverend st 1
trium pher s 1
fra gi le 1
bea ched 1
un re mo v ably 1
cou ri er 1
import ed 1
tra ver sed 1
cr ouch ing 1
dec im ation 1
ti thed 1
blu ster 1
ram p ired 1
un charged 1
reg ular 1
in sc ul pt ure 1
caitiff s 1
abhorred st 1
scorned st 1
drop lets 1
le ech 1
tituss 9
saturninus 70
bassianus 45
lavinia 71
mutius 13
tamora 92
aaron 98
alar bus 5
chiron 49
pat rons 1
contin ence 1
p ius 1
ac cited 1
upright ness 1
circum scri bed 1
anchor age 1
res al ute 2
sty x 2
fr at rum 1
un appe ased 1
sur vi ves 2
nobility s 1
scy th ia 2
brethr ens 1
trium pher 1
asp ired 1
sol ons 1
pall iam ent 1
lated e ce ased 1
cand id at us 1
fee bleness 1
pro clam ations 2
man fully 2
saturnine 17
interrup ter 1
pan the on 2
cu i que 1
seiz eth 2
wrong ful 2
reproach ful 2
ph be 1
gallant st 1
hymen us 1
sum ptuous ly 1
lavin ias 3
dis ma ll st 2
dre ary 1
remuner ate 1
dissem bled 4
tam or as 1
love day 1
pan ther 3
cli m beth 1
z od ia c 1
gl is ten ing 1
highest peering 1
aar ons 1
pro me the us 1
ship wrack 1
common we als 1
dancing rapier 1
shea thed 3
foul spoken 1
thun dr est 1
brab ble 2
la v ina 1
gli deth 1
lo af 1
sh ive 1
languish ment 3
un fre qu ent ed 2
fas 1
aut 1
ne fas 1
per 3
sty g ia 1
ve hor 1
abject ly 1
g le e ful 1
ch ant 3
chequ ered 1
curtain ed 1
counsel keeping 1
deadly standing 1
un cur ls 1
un roll 1
ven ere al 1
fatal plotted 1
esp ied 4
dread s 2
act ae ons 1
new transformed 1
in tru der 2
horn ing 1
s war thy 2
c im mer ian 1
raven coloured 1
ti ced 1
mis tle toe 1
adulter ess 1
goth 11
pon iard 1
thr ash 2
nice preserved 1
suck st 1
hear do 1
beg g st 1
bassianus s 1
andronic i 3
def lower 2
rude growing 1
new shed 1
ch ill ing 1
oer runs 1
tru ed iv ining 1
ber ay ed 1
co cy tus 1
elder tree 2
over sha des 1
never heard of 1
stum ps 5
sc row l 1
he wed 1
bu bbling 2
ro sed 1
o ven 3
philo me la 3
se wed 2
craf tier 1
langu or 1
urn s 2
dr ought 1
off en deth 1
be friend ed 2
devour ers 1
hand less 2
fa g got 1
bright burning 1
marty red 5
bla b bed 1
un re cur ing 1
wax ing 1
honey dew 1
down wards 1
brine pit 1
be wet 1
battle axe 1
ward ed 1
over flow ed 1
sent st 1
sorrow wre athen 1
so aking 2
seas al t 1
frantic ally 1
mes hed 1
complain er 1
al p ha bet 1
repreh ending 1
some whither 1
corne lia 2
t ull ys 1
tos seth 1
o v id s 1
met am or phos is 1
qu ot es 1
patter ned 2
descri bes 2
traged ies 2
sl unk 1
pall as 4
stu pr um 1
magn i 1
poli 1
lent us 2
au dis 1
sce ler a 1
v ides 1
bear w helps 1
play eth 1
gad 1
foe mens 1
batter ed 3
b und le 2
de cipher ed 1
inte ger 1
sce ler is que 1
pur us 1
e get 1
ma uri 1
ia cul is 1
ne c 3
arc u 1
black am o or 2
cater wa ul ing 2
fair faced 1
blow se 1
t ad pole 1
sc imit ars 1
youn gl ings 1
ence lad us 1
ty p hon s 1
shallow hearted 1
white limed 1
alehouse painted 1
ig no my 1
whe ak 2
mul ite us 1
ind ic ating 2
t at tle 1
thick li pped 1
whe y 1
ter ras 1
ast ra ea 1
reli quit 1
man of war 1
un sear ched 1
big bon ed 1
jove m 1
apo ll ine m 1
mart em 1
boy marcus 1
vir gos 1
aries 1
gibbet maker 1
ju bit er 1
ple bs 1
emper als 1
leg al 3
might ful 1
wre aks 1
scro lls 1
li bell ing 1
ecst as ies 1
proud st 1
high witted 1
mistress hip 1
emper ial 1
high resolved 1
honey stal ks 1
success ant ly 1
sca th 1
hot test 2
stray ed 1
wall ey ed 1
sp ra wl 1
po p ish 1
ad or est 1
cod ding 1
ment ion ed 2
pri ed 1
cre vice 1
hay stal ks 1
ha bi li ment 1
lur king place 1
ob scur ity 2
sur ance 1
dis mount 3
wag gon wheel 1
foot man 5
ra pine 4
thrice valiant 1
oer reach 1
hell hounds 1
past ies 1
pro c ne 1
throat sla vin ia 1
b aked 2
su st nance 1
behold en 1
virg inius 2
sad faced 1
audit ory 1
turned forth 1
advent rous 1
va un ter 1
cit ing 1
arch ite ct 1
plot ter 1
mis believing 1
exe cra ble 1
breast deep 1
relie ves 1
de void 1
calchas 18
deiphobus 11
helenus 11
mar g are lon 6
antenor 17
patroclus 73
scur ril ous 2
andromache 12
cassandra 22
org ulous 1
cha f d 2
phry g ia 3
ran sack 1
im mur es 1
sleep sand 1
ten ed os 1
deep drawing 1
dardan 3
pavi lions 1
six g ated 1
ty mb ria 1
ili as 1
che tas 1
tro i en 1
antenor ides 1
st ap les 1
cor res p ons ive 1
ful filling 1
sk it tish 3
tam er 1
f on der 1
tar ried 4
bolt ing 2
lea ven ing 2
heat ing 2
ba king 1
couch d 1
cass and ras 2
ind r ench d 1
ul cer 1
hand lest 1
stubborn chaste 1
d ap hn es 1
fores aw 1
ele phant a 1
crow ded 1
bri are us 1
of good 1
alexander how 1
th others 2
and arus 1
confess not 1
window and 1
lif ter 1
marvell s 1
pluck t 1
ha cks 2
troilus helenus 1
dr ay man 1
m inc d 1
un arms 1
pand ars 5
un gaind 2
ma x im 1
ja un dies 1
pro position 1
lar gen ess 2
conf lux 1
diver ts 1
tort ive 1
er rant 2
un bod ied 1
ab ash d 1
pro tract ive 1
pers ist ive 1
un read 1
win now s 1
bore as 1
strong ri bbd 1
unt imber d 1
cor iv all d 1
ray 1
shade why 1
sympa this e 2
up hear 1
th applause 1
stretchd out 1
speeches which 1
greekish 9
exper i en cd 2
tongue yet 1
import less 1
mast ic 1
special ty 1
for ag ers 1
thun worthiest 1
ins ist ure 1
en thr ond 1
sp herd 1
am id st 1
comm un ities 1
brother hood s 1
div id able 1
pri mo gen ity 1
la ure ls 1
unt une 1
op pu gn ancy 1
im be c ility 1
super ior 1
scur ril 1
top less 1
ham string 1
sca f fold age 1
to be pitied 1
oer wrest ed 1
am ending 2
un squ ard 1
ty p hon 1
done as 1
fum bling 1
gor get 1
prevent ions 1
voice many 1
weak en 1
bed work 1
map pry 1
closet war 1
deb on air 1
dis tain s 1
rep ining 1
tran sc ends 1
hector priam 1
long contin ued 1
fair st 2
her sto 1
trojans 11
v am brace 1
seed ed 2
over bulk 1
rel ates 1
pers pic uous 1
public ation 1
li by a though 1
enough will 1
f inst 3
scant ling 1
in dex es 1
sub sequent 1
mis carrying 2
direct ive 1
parch 1
fo ild 3
block ish 1
myr mid on 2
brain less 1
agamemnon how 1
bo ils 2
run say 1
bot ch y 1
bit ch wolf s 1
beef witted 1
un sal ted 1
hand so men ess 1
toad stool 1
stri kest 2
loath som est 1
grum blest 1
rail est 1
pro ser pin as 1
beauty ay 1
bark st 1
co blo af 1
pun 1
so dden witted 1
as ini co 1
who some ver 1
mod ic um s 1
ev as ions 1
achilles ajax 1
head ill 1
nestor whose 1
to esy o ke 1
clo t po les 1
search es 1
dis mes 1
helen i 1
ten ths 1
oun ces 1
past proportion 1
fathom less 1
sp ans 1
mar vels 1
dis or bd 1
at tribut ive 1
infect ious ly 1
th affected 1
bell ied 1
wr angl ers 1
laun chd 1
in estim able why 1
ra ving 1
mid age 1
just ness 1
rapt ures 1
prop ension 1
pro pu gn ation 1
ret ra ct 1
bes ot ted 1
wi pd 1
ran sack d 2
un famd 1
spa ces 1
glo zd 1
superf ic i ally 2
ar is to tle 1
condu ce 2
dis temp red 1
ben um bed 1
well order d 1
re fra ctor y 1
sp art as 1
is these 1
pers ist 1
exten u ates 1
neer the less 1
pro pend 1
depend ence 1
canon ize 1
priam us 2
ro ist ing 1
advertis d 1
ele phant 5
s foot 1
engine er 1
thunder d arter 1
serp entine 1
cad u ce us 1
short armd 1
bone ache 2
pla cket 2
know er 2
privile gd 3
creat or 1
suff ices 1
cuckold a 1
emul ous 5
ap pertain ings 2
lion sick 1
inve ig led 1
fra ction 1
dis un ite 1
out fly 1
un tasted 1
under honest 1
self as sum ption 1
under write 1
over hold 1
engend ring 1
self ad mission 1
unt ent 1
self breath 1
kingdom d 1
pla gu y 1
bast es 1
se am 1
himself shall 1
as sub ju gate 1
en l ard 1
fat already 1
can cer 1
entertain ing 1
p ash 2
kne ad 1
man but 1
sel fa f fect ed 1
er ud ition 1
discipl ind 2
bull bearing 1
mi lo 1
anti qu ary 1
h ul ks 1
you pray 1
compliment al 1
see thes 1
them especially 1
honey sweet 2
to commends 1
affection ate ly 1
no and 1
queen my 1
dis po ser 2
dispos ers 2
spy come 1
tick les 2
ha hey 1
gallant ry 1
kings dis arm 1
over shines 1
cressid as 1
sty g ian 1
char on 1
transport ance 1
th imaginary 1
thri cere pure d 1
ne ct ar 4
subtle potent 1
fray d 1
new taen 1
fe ef arm 1
ter cel 1
bill ing 1
gr an to 1
a br up tion 1
dre g 1
mon stru os ity 1
dis char ging 1
ever pardon 1
bla bbd 1
un secret 1
out living 1
af fron ted 1
swain s 5
plant age 1
character less 1
nothing yet 1
go ers between 1
name call 1
troilus es 1
th advantage 2
se quest ring 1
reg ist red 1
you often 1
ne go ti ations 1
then tr ance 1
un pla us ive 1
disdain fully 2
meal y 1
stand ers 1
man how 1
sense behold 1
mir r ord 1
familiar but 1
th are 1
rever br ate 1
th unknown 1
lords why 1
lu bber 3
wall et 1
great si zd 2
ingrat itu des 1
ent red 1
tram pled 1
th hand 1
gr as ps 2
cal umn i ating 1
oer dust ed 1
miss ions 1
thun com pre hen s ive 1
un veil 1
mystery with 1
meddle in 1
poly xen a 1
sli des 2
restra ins 2
de wd ro p 1
man e 4
o mission 1
tin v ite 1
cudge lling 1
pe a cock a 1
break t 1
language less 1
six or sevent imes honourd 1
cat lings 1
tick 1
bed mate 1
aene ast ake 1
en freed 1
good fellowship 1
soil ure 1
pal ating 1
wh or ish 1
cha p men 1
attach ment 1
ri bald 1
moment ar ys wi ft 1
ca po c ch ia 1
bu g bear 1
naught ily 1
ta cit urn ity 1
profound ly 1
cons angu in ity 1
pre fixd 2
moder ation 1
violent eth 1
cause th 1
allay ment 1
qualify ing 1
sigh st 1
just les 1
rejo ind ure 1
em bras ures 1
cra ms 1
thie v ry 1
con sign d 1
fum bles 1
sc ants 1
dis tasted 1
ex post ul ation 1
mac ul ation 1
la vol t 1
dumb dis cours ive 1
change ful 1
high soar ing 1
antic ip ating 1
app alled 2
combat ant 1
sp hered 1
out swell 1
a qu il on 1
blo west 1
aspir ation 1
th head 1
never s 1
encounter ers 1
read er 1
st int s 1
deed less 1
v ind ic ative 1
cous ing er man 1
comm i xt ion 1
dex ter 1
mul ti potent 1
borrow dst 1
ne op to le mus 1
mir able 1
loud st 2
expect ance 1
se ld 2
expect ers 1
pure ly 1
bias drawing 1
well famd 1
unt ra ded 1
subdue ments 1
sh ra pd 1
understand st 1
where out 1
pleasant ly 1
st ith ied 1
con vive 1
con cur 1
tam bour ines 1
c rusty 1
b atch 1
seem est 1
guts gri ping 1
rupt ures 1
cat ar r h s 1
leth arg ies 1
pal sies 1
dir trot ten 1
whe e zing 1
im pos th ume 1
sc i atic as 1
lime k il ns 1
rive lled 1
ind ist ing u is ha ble 1
im mater ial 1
fla p 1
tas sel 1
p ester ed 1
g ag ing 1
ear wax 1
pri mit ive 1
obli que 1
shoe ing horn 1
fit cho ok 1
li zard 1
diomed s 2
false hearted 1
le ers 1
his ses 3
a str on om ers 1
fo 4
rum p 1
pot ato 1
co gn ition 1
wench givet 1
pla gu d 1
direct s 1
co act 1
publish ing 1
obst inate ly 1
that test 1
dece p ti ous 1
cal umn i ate 1
neg ation 1
cr it ic s 1
de pra vation 1
sanct imon ies 1
b if old 1
in separ ate 1
or if ice 1
ar iach nes 1
wo of 1
five finger tied 1
ort s 2
o ere at en 1
ship men 1
hur ri can o 1
con string d 1
con cup y 1
fair well 1
al mon d 1
commod ious 1
ad mon ish ment 1
tur bul ence 1
th vein 1
beck on ing 1
oer galled 1
enra pt 1
shri lls 1
ed ifies 1
clap per cla wing 1
whore master ly 1
sleeve less 1
mou see at en 1
dog fox 1
black berry 1
wench ing 1
poly dam as 1
men on 1
dore us 1
co loss us wise 1
pas hed 1
ep is tro ph us 1
ced ius 1
polixenes 85
amp him ac us 1
tho as 1
pal ame des 1
snail pa cd 1
g ala the 1
sc ull s 1
straw y 1
mo wers 1
myr mid ons 6
no seless 1
ch ip pd 1
eng ag ing 1
force less 2
boy quell er 1
fr ush 1
em pale 1
double h end 1
put ri f ied 2
fore go 1
oers p reads 1
stick ler like 1
separ ates 1
half supp d 1
shea thes 1
bra gl ess 1
thr ones 2
im min ence 1
n io bes 1
mould eth 1
frenz ys 1
bro ker lackey 1
hold door 1
eas es 1
sea coast 5
olivias 25
orsino 9
illyria 13
curio 13
viola 139
olivia 145
toby 206
ague cheek 5
malvolio 126
fabian 74
receive th 1
clo is tress 1
love thoughts 1
bow ers 1
ar ion 1
unfold eth 1
boun te ously 1
bla bs 1
stra ps 1
qu aff ing 1
any s 1
vio ld eg am boys 1
quarre ll er 1
sc ound re ls 1
sub stra ctors 1
coy stri l 1
cast ili ano 1
vul go 1
ague face 1
ac cost 6
chamber maid 2
pour quo y 2
bear bait ing 2
cur l 1
kick sha ws es 1
back trick 1
ma lls 1
sink apace 1
dam d colourd 1
cesario 16
aloof cesario 1
un cl as pd 2
un prof ited 1
nun c io s 1
rub ious 1
sembl ative 1
con ste ll ation 2
bar ful 1
g ask ins 1
qu in ap al us 1
madonna 10
bot cher 1
transgress es 1
sy llo g ism 1
dex ter ious ly 1
mourn st 2
two pence 2
g ag ged 2
z an ies 1
bird bolts 1
pick le her rings 1
coron er 1
fore knowledge 1
cod ling 1
shrew ish ly 1
ors in os 8
beauty i 1
comp ti ble 1
come dian 1
mo ll ific ation 1
cha p ter 1
cruel st 1
sc hed ul es 2
invent or ied 1
uten sil 1
la bell ed 1
recomp ens d 2
ad or ations 1
div ul gd 1
dim ension 2
c anton s 1
contem ned 1
five fold 1
mali gn ancy 1
extra vag ancy 1
mess al ine 2
over far 1
peevish ly 1
distracted ly 2
unt angle 1
t unt ie 1
dil u cu lo 1
sur g ere 1
pig rog rom it us 1
vap ians 1
equ in oct ial 1
que u bus 1
im pet i co s 1
grat ill ity 1
mal voli os 4
test ril 1
loves ong 4
me ll if lu ous 1
nigh to wl 2
politic ians 1
pe gar am sey 1
cons angu ine ous 1
till y v ally 1
d we lt 2
coz iers 1
s neck 1
mis demean ours 1
cr um bs 1
time pleas er 1
affection ed 1
cons 1
s war ths 1
excell en cies 1
ep ist les 2
person ated 1
pen the si lea 1
be ag le 1
re collected 1
giddy pa ced 1
f este 1
knit ters 1
st rown 1
op al 2
clo y ment 1
den ay 1
sheep bit er 1
bo xt ree 1
pract ising 2
tr out 1
j ets 1
stra ch y 1
je ze bel 1
stone bow 1
bran ched 1
day bed 1
c ars 1
cs 2
ts 2
ps 1
kno wi f 1
bro ck 1
mo a i 4
lif en ay 1
stan iel 1
end what 1
al p ha be ti cal 1
tha the 1
sow ter 1
m malvolio 1
m but 1
sim ul ation 1
in ure 1
cross gart ered 7
champ ian 1
ex cites 1
praised here 1
gull catch er 1
tray trip 1
che v ril 1
car st 1
pil ch ards 1
con ster 2
over worn 1
folly falln 1
gar de 1
vouch sa fed ill 1
enchant ment 2
un mu zzled 1
gri ze 1
cla use 1
de pl ore 1
grand jury men 1
no ah 1
dor mouse 1
ac cost ed 1
b ang ed 1
sa iled 1
dutch mans 1
brown ist 1
love bro ker 1
goose pen 1
cu b ic u lo 1
man i kin 1
wain ro pes 1
stit ches 1
rene ga do 1
augment ation 1
hur ling 1
un ho spit able 1
memor ial s 1
re paying 1
lap sed 1
purse bearer 1
malvolio he 1
cross garter ing 1
con curs 1
inc ites 1
do er 2
bid dy 1
cherry pit 1
coll ier 1
im probable 1
qui eter 1
pe p per 1
way lay 1
b um ba ily 1
tw ang ed 1
clo d pole 1
im pet u os ity 1
cock at ri ces 1
un char y 1
repro ves 1
inter ce p ter 1
assail ant 1
un hat ched 1
incense ment 1
im pla cable 1
quir k 1
fir ago 1
stuck in 1
fen cer 1
sea cap 1
be falls 1
un sound 1
de form d 1
oer fl our ished 1
cou p let 1
coward ship 1
ung ird 1
re por ta fter 1
preach d 2
bot chd 1
topas 19
bon os 1
pra gue 1
wit ti ly 2
gor bod u c 1
vex est 1
bar ri ca does 1
cler est ories 1
south north 1
complain est 1
er rest 1
pu zzled 1
notorious ly 2
bi bble ba bble 1
en wra ps 1
ch ant ry 1
neg at ives 1
af firm at ives 1
double dealing 1
pri mo 1
sec undo 1
ter t io 1
tri plex 1
mind one 1
ba u bling 1
sca th ful 1
fo a my 1
re commended 1
int ri m 1
hus hes 1
per ver sen ess 1
un auspicious 1
faith full st 1
non regard ance 1
sc rews 1
marble breast ed 1
mor es 1
unfold though 1
reve als 2
ripe what 1
joind er 1
at test ed 1
interchange ment 1
cu b 1
gri zzle 1
inc ardin ate 1
life lings 1
is you 1
other gates 1
ag one 2
pass y 1
pa vin 1
thin faced 1
co here 1
oc curr ence 1
over swear 1
se vers 1
go spe ls 1
vo x 1
un thought 1
madly used 1
cross garter d 1
mar ias 1
pres up posd 1
un courteous 1
toby s 1
whir lig ig 1
convent s 1
souls meantime 1
hence cesario 1
tos spots 1
julias 11
anter o om 2
silvia 123
thurio 68
eglamour 22
pantino 22
julia 144
lucetta 63
home keeping 1
slu gg ard ized 1
note worthy 1
love book 1
heart sore 2
mo ments 1
betide th 2
be chance 2
met am or pho sed 3
f od der 1
follow est 1
ba a 1
no day 1
nod dy 3
t ester ned 1
un heed fully 1
merc atio 1
clo s est 1
julias ay 1
pr offer er 1
churlish ly 1
pick s 4
ginger ly 1
tram p ling 1
contempt uous ly 1
love wounded 1
univer sit ies 1
t our nam ents 1
journey ing 1
re lying 1
val ent inus 1
resemble th 1
de cks 2
wre a the 1
red breast 1
ab c 1
fast ed 1
good morrow s 1
moving ly 1
in sc rut able 1
rhy ming 1
spo kes man 1
oers lips 1
now nay 1
imperial s 1
sour est nature d 1
cruel hearted 1
pe b blest one 1
service why 1
un mellow ed 1
fellow servant 1
dis ability 1
me once 1
love discourse 1
penitent ial 1
en thra lled 2
principal ity 1
summers well ing 1
braggart ism 1
ex pe ls 2
tha wed 3
stand under 1
par able 1
report est 1
sweet suggest ing 1
soul confirm ing 1
silvia witness 1
mean eth 1
cord ed 2
sil vias 4
pret ended 3
th uri os 1
vis i bly 1
tru ed e vo ted 1
dam m st 1
sed ge 1
over take th 1
no ok s 1
tur mo il 1
well reputed 1
odd conceited 1
tar ri ance 2
dut ys 1
un prevented 1
chamber window 2
publ isher 2
regard ing 1
sun bright 1
for why 1
shel ving 1
p hath on for 1
mer op s 1
sel fa 1
ill um ined 1
so ho 2
forbear friend 1
ban is he do 1
un rever sed 1
silver shed ding 1
un compassion ate 1
an them 3
lament st 1
city gate 1
waters pan iel 1
cate log 1
j ol the ad 1
ill iter ate 2
lo iter er 1
bre ws 1
c rust s 1
op poses 1
per verse ly 1
per se vers 1
este e meth 1
l ump ish 1
wail ful 1
heaven bred 1
le via than s 1
dire lamenting 1
de pl or ing 1
sweet complain ing 1
direction gi ver 1
pass eng er 3
ri fle 1
sojour ned 1
cre ws 1
commend ing 1
t wits 1
span ie ll i ke 1
fa w neth 2
ally cho lly 1
greg or ys 1
conceit less 1
oer night 1
vowed st 1
re cking 1
be fortune 1
patri cks 3
din ing chamber 1
there bless 1
mark a 1
p iss ing while 1
lo iter ing 1
stay est 1
despise th 2
sun ex pe lling 1
lily tinct ure 1
a good 1
passion ing 1
round er 1
consid ers 2
mis chances 3
mo ys es 1
valerius 9
law less ly 1
hallow ing 2
love force 1
etern als 1
un ri v alled 1
re called 2
inclu de 2
fortun ed 1
back ground 2
arcite 211
palamon 224
cre on 6
pirithous 54
theseus s 1
art es ius 5
ba vi an 5
ger ald 2
nel 3
wed d ings 1
country women 3
fr it z 1
ak in 1
gi en 1
retain s 1
cha u cer 1
tack 3
cha p lets 2
sp ines 1
p ink s 1
smell less 1
spring times 1
hare bells 1
death beds 1
lark she els 1
stre ws 1
bride house 1
ve ils 1
gent ility s 1
loath so men ess 2
pur ger 1
cap ane us 1
th res hed 1
consum ers 1
hel me ted 1
bell on a 2
scy the tus ked 1
sty led 2
subdu ing 2
soldier ess 1
stern ness 2
blood si zed 1
heart deep 1
un cand ied 1
c enter 1
ground piece 1
heart pierced 1
ard ent ly 1
counter refle ct 1
kno lls 1
medit ance 1
pre medit ating 1
o sp reys 1
dra ms 1
pre ci pit ance 1
bl is tring 1
visit ating 1
prim st 3
dow ag ers 1
famish ing 1
un pang ed 1
fit tst 1
future ly 1
proclaim ing 1
warrant ing 1
corse let 1
twin ning 1
taste ful 1
ab stain ing 2
sent en cing 1
vi gor 1
me pirithous 1
celebr ation queens 1
a ul is 1
cur rant 1
sister pirithous 1
ear n st 1
mast ry 1
sen su ally 1
un hard ened 1
tempt ings 1
in contin ence 1
ed dy 2
martial ist 1
pro pound 1
fl ir ted 1
so scorned 1
rep let ion 1
h ars her 1
sto 1
un blessed 1
sc is sor ed 1
d angle 1
ri ps 1
un feared 1
de ifies 1
si b 1
le ech es 1
clear spirit ed 1
leaden footed 1
loud ness 1
app alls 1
pronoun ces 1
worth the 1
dre gged 1
un reason ed 1
def ier 2
never er ring 1
be cking 1
du re 1
ill dealing 1
best temper ed 1
all royal 1
so d 2
in and 1
serious ness 1
direct ing 2
ca b ined 1
sk iff ed 1
tor r ents 1
fla v ina 2
mature ly 1
inter t angled 1
oper ance 1
blossom she 1
ph n ix like 1
affection sp ret ty 1
wear i 1
hum med 1
sojour n rather 1
fury innocent 1
import ments 1
bastard has 1
ind iv id ual 5
high speed ed 1
hears es 2
ag hast 1
forty thousand fold 1
provo c ations 1
oer wrestling 1
qu ic key ed 1
sal mon 1
stam mers 1
suffer ers 1
them when 1
sigh er 1
re de yed 1
too timely 1
un married 2
fa ire yed 3
banish ments 2
ever blind ed 1
dead cold 1
j ave l ins 2
well steeled 2
twin ed 1
fami lies 1
oppress or 2
arcite almost 1
sk irt 1
merry hearted 1
true ly 1
life why 1
blo om ing 1
ap ri cock 1
thee o 1
suffer come 1
ta ils 3
mum ble 1
sto w 1
fes cue 1
may ing 1
ar cas 2
sen no is 1
ry cas 1
tan ners 1
ed ify 3
par l ously 1
behalf s 2
running tis 1
excellent and 1
tough er 2
ab lest 1
wish pirithous 1
gi ver dearest 1
horse man 2
emilia and 1
friend and 1
wood wait 1
mis tres sem ily 1
hors est ake 1
plan e 1
st ou thearted 2
hu b bu b 1
am ay ing 1
blo o med 1
ena me led 1
garden yea 1
em ily 8
deem st 1
ear ed 1
void st 1
fal s est 1
chaff y 1
house clo gs 1
mus it 1
strengthen s 1
char ed 1
mo ped 1
si pped 1
un set tle 1
ch ir p 1
sc reech 1
place ho 1
faint then 1
parle ys 1
glad der 1
black ha ired 1
virgin als 1
ah unt ing 2
be ech 1
ag lets 1
tr us sed 1
ted io s ity 1
dis ins an ity 1
plum bro th 1
co ar se fri eze 1
je an 1
pro h 1
med ius 1
f idius 1
dun ces 1
up mark 1
me leag er 1
de cent ly 1
tim o thy 1
fri z 1
deliver ly 1
fr is k 2
us que 1
t and em 1
f ats 1
sem p sters 1
dog skin 1
once you 1
n ull ity 2
fra m pul 1
barbary a 1
three a 1
ha iled 2
bound a 1
sound a 1
how let 1
posed 1
di i 2
bon i 1
passa 1
f lu ent ly 1
op us 1
exe gi 1
jo vis 1
persu as ively 1
d ought y 2
re ct if ier 1
p da go g us 1
fer u la 1
d d al us 1
well will er 1
mor r 1
ten ner 1
pen ner 1
beck ning 1
reck ning 2
beest eating 1
mul tis 1
ali is 1
intr ate 1
fi li i 1
der ry 2
do mine how 1
you one 1
see em 2
hunt st 1
dow sets 1
de que 1
crest falln 1
out du re 1
ref uses 2
recomp ence 1
pertain s without 1
despis ings 1
p out ings 1
school boys will 1
justify ing 1
bare armed 1
out did 1
aunt s 2
kill est 1
cast or 1
despis ers 1
servant if 1
to justly 1
dec ider 2
conjur ings 1
to em 1
a begging 1
compassion how 1
consent are 1
childish ly 1
s ill ily 1
gla de 1
bla c key ed 1
daff ad ill ies 1
k need e ep 2
bul rush 1
water flowers 1
her one 1
brother where 1
cock light 1
ow gh 3
bow line 1
main sail 1
ken n st 1
cin th ia 1
gre ate yed 1
smo other 1
pe lo ps 1
under world 1
sot ted 1
joy must 1
cir cles 3
bald ric 1
descri bed 2
hard ha ired 1
thick twin ed 1
to ds 2
fre ck le faced 1
white ha ired 1
nim bles et 1
bra wny 2
